epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,3295.79,0.81612,0.43917,0.81304,0.91499,0.87971,0.93551,0.67409,0.73762,0.38591,0.81004,0.0070795,0.0070795,0.0070795
61,3350.63,0.82445,0.44199,0.81015,0.91654,0.87559,0.9351,0.67326,0.73877,0.38428,0.80979,0.00703,0.00703,0.00703
62,3405.7,0.82059,0.43512,0.80881,0.91541,0.8752,0.93494,0.67461,0.74275,0.3839,0.81123,0.0069805,0.0069805,0.0069805
63,3460.44,0.81195,0.43335,0.81144,0.91372,0.88214,0.93308,0.67581,0.74036,0.38446,0.80947,0.006931,0.006931,0.006931
64,3515.29,0.81509,0.43596,0.80821,0.91595,0.87848,0.93711,0.68129,0.73517,0.37468,0.80972,0.0068815,0.0068815,0.0068815
65,3570.26,0.81798,0.4331,0.80787,0.90991,0.87824,0.93549,0.67834,0.73483,0.37991,0.80937,0.006832,0.006832,0.006832
66,3625.13,0.81429,0.43166,0.80701,0.92985,0.86278,0.93453,0.67587,0.73392,0.37504,0.80949,0.0067825,0.0067825,0.0067825
67,3679.87,0.80541,0.4281,0.80963,0.92002,0.87833,0.93736,0.68449,0.73128,0.37693,0.80856,0.006733,0.006733,0.006733
68,3735.07,0.82192,0.42934,0.81233,0.91534,0.88641,0.94002,0.68334,0.73323,0.37236,0.80962,0.0066835,0.0066835,0.0066835
69,3790.12,0.81522,0.43081,0.80836,0.92388,0.87221,0.93737,0.67998,0.73229,0.37648,0.8084,0.006634,0.006634,0.006634
70,3845.11,0.8099,0.42759,0.81201,0.91755,0.87961,0.93792,0.68236,0.73048,0.37627,0.80898,0.0065845,0.0065845,0.0065845
71,3899.94,0.79579,0.42042,0.80946,0.91777,0.87977,0.93921,0.68601,0.73108,0.37574,0.80836,0.006535,0.006535,0.006535
72,3954.88,0.79908,0.41976,0.80715,0.92016,0.87526,0.93883,0.68456,0.7297,0.37177,0.80902,0.0064855,0.0064855,0.0064855
73,4010.03,0.79403,0.42141,0.81087,0.92768,0.87232,0.94044,0.6853,0.7273,0.37115,0.80788,0.006436,0.006436,0.006436
74,4064.65,0.79139,0.41713,0.80674,0.91614,0.87432,0.93658,0.68687,0.72524,0.37086,0.80759,0.0063865,0.0063865,0.0063865
75,4119.6,0.80094,0.42481,0.80545,0.91695,0.87899,0.93878,0.68555,0.72345,0.37072,0.80782,0.006337,0.006337,0.006337
76,4174.24,0.79339,0.41299,0.80656,0.92111,0.87586,0.9398,0.68733,0.72358,0.36449,0.80812,0.0062875,0.0062875,0.0062875
77,4229.09,0.77881,0.41206,0.80712,0.92518,0.87232,0.93983,0.68567,0.72528,0.36434,0.80769,0.006238,0.006238,0.006238
78,4283.78,0.79883,0.41986,0.807,0.91658,0.88016,0.94066,0.68905,0.72179,0.36609,0.80708,0.0061885,0.0061885,0.0061885
79,4338.8,0.7871,0.41435,0.80609,0.92072,0.87984,0.9399,0.68844,0.72069,0.36286,0.80696,0.006139,0.006139,0.006139
80,4393.68,0.80388,0.42067,0.80712,0.91279,0.88697,0.93906,0.68722,0.71891,0.36268,0.80696,0.0060895,0.0060895,0.0060895
81,4448.53,0.78226,0.41034,0.80409,0.92604,0.87067,0.94003,0.68978,0.71917,0.36358,0.80693,0.00604,0.00604,0.00604
82,4503.51,0.79033,0.41215,0.80815,0.91108,0.87981,0.93724,0.68703,0.72023,0.36631,0.80689,0.0059905,0.0059905,0.0059905
83,4558.38,0.78842,0.41068,0.80622,0.91089,0.88823,0.94131,0.69254,0.71704,0.36193,0.806,0.005941,0.005941,0.005941
84,4613.36,0.77236,0.40833,0.8033,0.91895,0.88713,0.94138,0.69279,0.7179,0.3602,0.80643,0.0058915,0.0058915,0.0058915
85,4668.35,0.78577,0.41104,0.8054,0.91481,0.88637,0.94043,0.69306,0.71742,0.359,0.80694,0.005842,0.005842,0.005842
86,4723.2,0.77942,0.41028,0.80684,0.91891,0.88404,0.94049,0.69228,0.71838,0.35956,0.80679,0.0057925,0.0057925,0.0057925
87,4777.86,0.7862,0.4084,0.80453,0.9302,0.87113,0.94004,0.69429,0.71686,0.35866,0.80614,0.005743,0.005743,0.005743
88,4833,0.77654,0.40594,0.80397,0.9247,0.87855,0.93849,0.69219,0.71579,0.35768,0.80639,0.0056935,0.0056935,0.0056935
89,4887.66,0.78613,0.41274,0.8067,0.91995,0.88367,0.93963,0.69215,0.71436,0.35716,0.80628,0.005644,0.005644,0.005644
90,4942.58,0.77657,0.40388,0.8073,0.91956,0.8816,0.94068,0.69448,0.71289,0.35802,0.80611,0.0055945,0.0055945,0.0055945
91,4997.46,0.7776,0.40596,0.80573,0.92698,0.87425,0.94192,0.69295,0.71255,0.3597,0.80629,0.005545,0.005545,0.005545
92,5052.43,0.78818,0.41198,0.8056,0.93559,0.86478,0.94151,0.69388,0.7134,0.35818,0.80564,0.0054955,0.0054955,0.0054955
93,5107.43,0.78838,0.41019,0.80698,0.90697,0.89539,0.94162,0.69518,0.71491,0.35928,0.80558,0.005446,0.005446,0.005446
94,5162.34,0.77678,0.40559,0.80732,0.92348,0.88197,0.94307,0.69722,0.71147,0.3589,0.80506,0.0053965,0.0053965,0.0053965
95,5217.48,0.78149,0.40603,0.80684,0.92522,0.8829,0.94253,0.69621,0.71229,0.35854,0.80495,0.005347,0.005347,0.005347
96,5272.11,0.76599,0.39258,0.80458,0.91566,0.8848,0.94036,0.69753,0.70973,0.35529,0.80483,0.0052975,0.0052975,0.0052975
97,5327.08,0.76738,0.39657,0.8031,0.9238,0.88129,0.94092,0.69713,0.70965,0.3545,0.80498,0.005248,0.005248,0.005248
98,5381.96,0.77554,0.40422,0.80502,0.92749,0.87829,0.9434,0.69762,0.71014,0.35132,0.805,0.0051985,0.0051985,0.0051985
99,5436.55,0.76737,0.39915,0.8065,0.92773,0.87815,0.94266,0.69819,0.71022,0.35297,0.80512,0.005149,0.005149,0.005149
